timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
32331089957,32331089957,18,40,0,0,0,1514,1514,1648,1518,1514,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32331281367,32331281367,18,40,0,0,0,1514,1514,1648,1518,1514,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32331489169,32331489169,18,40,0,0,0,1514,1514,1648,1518,1514,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32331689559,32331689559,18,40,0,0,0,1514,1514,1648,1518,1514,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32331884569,32331884569,18,40,0,0,0,1514,1514,1648,1518,1934,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32332092392,32332092392,18,40,0,0,0,1514,1514,1648,1518,1934,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32332287778,32332287778,18,40,0,0,0,1514,1514,1648,1518,1934,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32332511559,32332511559,18,40,0,0,0,1514,1514,1647,1517,1934,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32332695156,32332695156,18,40,0,0,0,1514,1514,1647,1517,1934,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32332899005,32332899005,18,40,0,0,0,1514,1514,1647,1517,1934,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32333101269,32333101269,18,40,0,0,0,1514,1514,1647,1517,1934,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32333302178,32333302178,18,40,0,0,0,1514,1514,1647,1517,1934,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32333522385,32333522385,18,40,0,0,0,1514,1514,1647,1517,1934,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32333701676,32333701676,18,40,0,0,0,1514,1514,1647,1517,1934,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32333921419,32333921419,18,40,0,0,0,1514,1514,1647,1517,1934,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32334116579,32334116579,18,40,0,0,0,1514,1514,1647,1517,1934,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32334320582,32334320582,18,40,0,0,0,1515,1514,1647,1517,1934,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32334523797,32334523797,18,40,0,0,0,1524,1514,1647,1517,1934,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32334735601,32334735601,18,40,0,0,0,1517,1514,1647,1517,1934,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32334935545,32334935545,18,40,0,0,0,1517,1514,1647,1517,1934,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32335134793,32335134793,18,40,0,0,0,1516,1514,1644,1517,1934,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32335334810,32335334810,18,40,0,0,0,1516,1514,1644,1517,1934,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32335542149,32335542149,18,40,0,0,0,1516,1514,1643,1517,1934,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32335738387,32335738387,18,40,0,0,0,1515,1514,1612,1517,1934,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
